,Sentence,Label
0,"Scientists attribute the global warming trend observed since the mid-20th century to the human expansion of the ""greenhouse effect""1 — warming that results when the atmosphere traps heat radiating from Earth toward space.
Certain gases in the atmosphere block heat from escaping",climate change
1,"Long-lived gases that remain semi-permanently in the atmosphere and do not respond physically or chemically to changes in temperature are described as ""forcing"" climate change",climate change
2,"Gases, such as water vapor, which respond physically or chemically to changes in temperature are seen as ""feedbacks.""
Global climate change has already had observable effects on the environment",climate change
3,"Glaciers have shrunk, ice on rivers and lakes is breaking up earlier, plant and animal ranges have shifted and trees are flowering sooner.
Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.
Scientists have high confidence that global temperatures will continue to rise for decades to come, largely due to greenhouse gases produced by human activities",climate change
4,"The Intergovernmental Panel on Climate Change (IPCC), which includes more than 1,300 scientists from the United States and other countries, forecasts a temperature rise of 2.5 to 10 degrees Fahrenheit over the next century.
According to the IPCC, the extent of climate change effects on individual regions will vary over time and with the ability of different societal and environmental systems to mitigate or adapt to change.
The IPCC predicts that increases in global mean temperature of less than 1.8 to 5.4 degrees Fahrenheit (1 to 3 degrees Celsius) above 1990 levels will produce beneficial impacts in some regions and harmful ones in others",climate change
5,"Net annual costs will increase over time as global temperatures increase.
""Taken as a whole,"" the IPCC states, ""the range of published evidence indicates that the net damage costs of climate change are likely to be significant and to increase over time.
Scientists have studied past climate changes to understand the factors that can cause the planet to warm or cool",climate change
6,"The big ones are changes in solar energy, ocean circulation, volcanic activity and the amount of greenhouse gases in the atmosphere",climate change
7,"And they have each played a role at times.
For example, 300 years ago, a combination of reduced solar output and increased volcanic activity cooled parts of the planet enough that Londoners regularly ice skated on the Thames",climate change
8,"About 12,000 years ago, major changes in Atlantic circulation plunged the Northern Hemisphere into a frigid state",climate change
9,"And 56 million years ago, a giant burst of greenhouse gases, from volcanic activity or vast deposits of methane (or both), abruptly warmed the planet by at least 9 degrees Fahrenheit, scrambling the climate, choking the oceans and triggering mass extinctions.
Here’s how it works: the planet’s temperature is basically a function of the energy the Earth absorbs from the sun (which heats it up) and the energy Earth emits to space as infrared radiation (which cools it down)",climate change
